start_ip,end_ip,join_key,asn,domain,name,type,country
33.212.0.0,33.212.255.255,33.212.0.0,AS749,mail.mil,DoD Network Information Center,business,US
2801:80:e0::,2801:80:e0:ffff:ffff:ffff:ffff:ffff,2801:80::,AS53215,br.ccb.com,China Construction Bank (Brasil) Banco Múltiplo SA,business,BR
2400:29ff::,2400:29ff:3fff:ffff:ffff:ffff:ffff:ffff,2400:29ff::,AS17676,softbank.jp,SoftBank Corp.,isp,JP
50.203.202.0,50.203.202.255,50.203.0.0,AS33491,comcast.com,"Comcast Cable Communications, LLC",isp,US
185.108.156.0,185.108.159.255,185.108.0.0,AS204170,awasr.om,Awaser Oman LLC,isp,OM
223.160.112.0,223.160.115.255,223.160.0.0,AS56047,chinamobile.com,China Mobile communications corporation,isp,CN
132.11.72.0,132.11.75.255,132.11.0.0,AS367,mail.mil,DoD Network Information Center,isp,US
2001:55ff:8000::,2001:55ff:bfff:ffff:ffff:ffff:ffff:ffff,2001:55ff:8000::,AS1273,vodafone.com,Vodafone Group PLC,isp,EU
2601:e17:8000::,2601:e17:bfff:ffff:ffff:ffff:ffff:ffff,2601:e17:8000::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
2600:1429:4000::,2600:1429:7fff:ffff:ffff:ffff:ffff:ffff,2600:1429:4000::,AS20940,akamai.com,Akamai International B.V.,hosting,NL
194.15.116.0,194.15.119.255,194.15.0.0,AS49261,svsreut.ru,Lekstar Communication Ltd.,business,RU
2800:2a32:4000::,2800:2a32:7fff:ffff:ffff:ffff:ffff:ffff,2800:2a32:4000::,AS7303,telecom.com.ar,Telecom Argentina S.A.,isp,AR
240e:b78:4000::,240e:b78:7fff:ffff:ffff:ffff:ffff:ffff,240e:b78:4000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
8.12.246.0,8.12.247.255,8.12.0.0,AS12025,ironmountain.com,Iron Mountain Data Center,hosting,US
213.137.83.0,213.137.83.255,213.137.0.0,AS834,ipxo.com,IPXO LLC,hosting,US
240c:c587:c000::,240c:c587:ffff:ffff:ffff:ffff:ffff:ffff,240c:c587:c000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
240e:e1:c000::,240e:e1:ffff:ffff:ffff:ffff:ffff:ffff,240e:e1:c000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
103.131.58.0,103.131.59.255,103.131.0.0,AS151184,kingsnetbd.com,King's Net,business,BD
199.117.60.0,199.117.95.255,199.117.0.0,AS209,lumen.com,"CenturyLink Communications, LLC",isp,US
2a03:b200::,2a03:b200:3fff:ffff:ffff:ffff:ffff:ffff,2a03:b200::,AS20860,iomart.com,IOMART CLOUD SERVICES LIMITED,hosting,GB
2803:810::,2803:810:3fff:ffff:ffff:ffff:ffff:ffff,2803:810::,AS271822,inno.com.ec,INNO FIBER INFI CIA LTDA,isp,EC
2a11:c782:8000::,2a11:c782:bfff:ffff:ffff:ffff:ffff:ffff,2a11:c782:8000::,AS210799,nexloop.fr,Nexloop France SAS,business,FR
2a11:f704::,2a11:f704:3fff:ffff:ffff:ffff:ffff:ffff,2a11:f704::,AS400522,rootcloud.io,rootcloud LLC,business,US
2003:cb4:8000::,2003:cb4:bfff:ffff:ffff:ffff:ffff:ffff,2003:cb4:8000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
2400:21d6:8000::,2400:21d6:bfff:ffff:ffff:ffff:ffff:ffff,2400:21d6:8000::,AS17676,softbank.jp,SoftBank Corp.,isp,JP
193.221.125.0,193.221.125.255,193.221.0.0,AS16509,amazon.com,"Amazon.com, Inc.",hosting,US
21.69.0.0,21.69.255.255,21.69.0.0,AS749,mail.mil,DoD Network Information Center,business,US
2c0e:2614:c000::,2c0e:2614:ffff:ffff:ffff:ffff:ffff:ffff,2c0e:2614:c000::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
